"varu-/tjänstegrupp","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"3120  damjacka",104.68,99.90,101.00,94.25,100.28,102.52,104.23,92.27,100.63,93.13,104.04,103.09,93.47,94.51,100.27
"3122  damkavaj",..,..,..,88.84,102.40,108.21,88.24,96.07,102.95,107.56,104.16,94.80,96.57,91.72,99.68
"3123  damblus",99.92,97.45,97.97,96.54,90.23,113.73,103.04,96.57,97.82,103.12,105.04,102.62,103.06,96.08,100.53
"3202  handskar",95.19,108.34,101.56,100.68,108.15,103.35,107.35,98.98,98.45,102.00,99.15,104.45,93.25,99.34,99.32
"3205  herrunderkläder",98.19,106.45,104.89,102.53,100.80,102.82,101.28,102.47,101.89,102.21,103.57,103.52,98.61,103.91,99.80
"3206  herrjacka",94.25,108.26,95.50,101.36,101.59,103.36,107.74,94.66,101.05,98.08,103.24,102.65,91.90,93.88,99.70
"3207  herrpullover",102.85,111.77,105.09,100.78,94.68,97.26,102.24,100.13,101.78,104.20,97.07,100.94,98.82,100.68,101.49
"3210  herrbyxor",104.40,102.02,101.21,95.52,106.48,102.74,99.68,103.51,103.87,101.16,101.50,103.63,97.99,98.31,96.68
"3212  herrkavaj",106.61,96.08,107.71,97.77,108.86,106.69,97.17,96.29,103.20,106.17,103.54,106.04,96.91,99.65,95.02
"3214  överrock",99.24,101.69,113.18,100.40,98.13,107.56,107.98,97.92,96.11,106.24,105.10,109.58,91.62,100.69,98.89
"3217  jeans",106.58,98.33,100.44,96.57,101.35,103.83,97.59,96.06,100.05,101.91,99.52,104.31,102.58,99.00,99.41
"3218  skjorta",96.80,89.28,102.72,96.35,103.97,96.71,96.07,99.61,97.70,99.76,104.98,103.65,99.14,99.89,96.48
"3219  herrskinnjacka",98.92,106.09,100.11,96.31,108.25,100.34,99.35,97.39,76.19,104.09,103.27,106.57,89.77,93.46,94.20
"3304  barnlångbyxor",101.81,102.14,98.72,102.14,105.36,100.63,106.03,102.25,96.49,98.02,97.02,111.27,102.20,95.24,102.48
"3306  barntröja",92.20,97.90,96.34,103.43,111.66,100.11,101.52,99.33,102.41,100.98,99.69,106.06,101.24,102.74,97.60
"3307  sparkbyxa",99.76,97.30,105.33,100.33,103.16,98.69,103.46,109.72,99.83,96.96,99.23,104.90,104.63,96.96,100.45
"3403  garn",88.60,96.54,96.18,102.32,98.12,86.26,96.33,102.70,103.71,103.19,106.73,103.67,93.79,101.63,100.87
"3406  tyg",104.13,101.04,119.70,101.09,91.85,83.63,95.70,97.99,102.13,100.05,97.95,108.83,104.54,96.53,90.56
"3502  sportkläder",101.94,97.05,101.34,106.32,103.18,98.84,94.02,102.14,98.31,94.04,98.87,106.38,101.06,100.78,96.56
"3602  kemtvätt",101.05,101.43,102.55,105.39,102.48,101.68,105.59,106.09,102.65,102.17,101.52,98.77,99.49,101.93,104.31
"3701  herrsko, grövre",92.50,115.45,100.15,93.74,101.10,115.22,102.27,106.15,103.50,98.15,107.62,101.42,100.05,102.43,97.57
"3704  träskor",89.86,102.09,104.62,95.49,98.21,102.60,103.96,98.58,99.81,93.22,89.17,95.48,100.31,107.53,98.69
"3707  damstövlar",97.56,103.80,103.29,97.20,102.16,94.95,105.62,95.55,102.20,102.05,100.54,102.90,99.11,93.82,97.15
"3708  barnskor",96.87,102.72,107.55,100.34,115.34,91.16,104.79,113.39,95.45,96.41,110.08,108.98,98.45,105.94,97.24
"3710  gummistövlar",105.88,98.29,103.95,103.41,95.15,99.67,108.45,104.57,108.77,101.28,104.49,100.27,102.96,104.26,91.42
"3717  damkängor",89.58,107.58,103.53,98.42,106.32,98.76,100.62,93.92,101.38,99.27,100.86,102.89,100.64,99.16,93.30
"3719  herrkängor",98.97,116.11,99.82,87.69,113.18,104.38,105.26,96.90,99.83,106.45,102.77,102.26,100.41,95.30,102.32
"3720  barnkängor",99.09,115.14,104.64,101.92,100.18,112.41,114.65,104.13,100.98,95.55,109.80,106.89,94.93,96.71,99.34
"3722  herrlågskor",96.87,108.47,103.82,103.42,106.26,101.25,101.69,95.31,105.90,102.29,104.26,105.36,100.56,100.10,100.90
"3723  damskor",93.62,103.73,100.70,99.68,100.28,94.94,103.63,97.61,98.68,105.74,98.37,102.75,96.56,99.84,100.28
"3724  sportskor",99.65,100.24,103.12,98.73,104.40,106.93,99.77,100.61,98.42,98.18,101.98,99.23,99.22,100.21,97.10
"4103  grundhyra, hyreslägenhet",102.43,100.88,101.60,102.51,103.22,101.64,102.33,102.59,102.24,101.73,101.47,100.86,100.84,101.02,101.75
"4403  sotning",..,..,..,..,..,..,..,..,..,100.98,101.12,101.91,101.96,101.13,101.93
"4404  renhållning",..,..,..,..,..,..,..,..,..,103.44,100.31,101.83,101.99,101.36,102.95
"4405  vatten och avlopp",..,..,..,..,..,..,..,..,..,102.77,102.41,101.91,102.64,103.59,103.39
"4501  hushållsgas, hyres- och bostadsrättslägenhet",102.72,102.82,104.26,103.69,126.53,104.94,105.02,135.13,107.89,100.46,100.34,100.21,100.53,101.40,101.66
"4502  elström, hyres- och bostadsrättslägenhet",98.68,112.83,98.01,111.19,102.66,106.22,102.35,95.76,99.97,97.33,96.47,103.92,105.17,111.41,103.40
"4601  räntekostnader, egnahem",91.79,103.57,119.79,119.89,65.01,98.13,141.16,106.22,89.20,92.55,82.23,93.72,101.95,100.61,106.97
"4602  avskrivningar",101.47,104.24,104.28,103.67,89.38,94.90,100.99,101.30,100.33,100.88,101.20,107.54,101.79,102.93,102.03
"4603  tomträttsavgäld",100.40,101.30,102.06,103.69,99.68,101.15,102.66,101.06,99.94,99.86,99.92,100.84,101.80,101.93,101.81
"4605  reparationer, varor",105.32,104.24,105.51,107.03,103.15,103.21,101.53,103.16,101.97,103.52,101.15,101.02,101.23,101.86,102.92
"4606  försäkringsavgifter",102.95,105.38,104.35,99.90,105.35,108.32,106.34,107.25,104.40,105.41,103.39,102.83,103.12,103.41,102.79
"4609  kommunal fastighetsavgift",101.63,90.94,100.12,72.84,114.51,99.42,101.42,106.22,102.54,100.27,101.35,101.40,102.90,106.52,101.68
"4701  fjärrvärme, egnahem",..,..,..,113.20,104.26,102.65,104.93,105.40,100.31,100.57,100.50,102.50,100.12,100.43,101.76
"4702  eldningsolja, egnahem",121.87,103.73,103.10,123.26,84.16,114.13,112.78,105.12,96.36,98.70,90.90,92.44,108.64,113.85,102.65
